,Word,Mnemonic_1,Mnemonic_2,Mnemonic_3,Mnemonic_4,Mnemonic_5,Mnemonic_6,Mnemonic_7,Mnemonic_8,Mnemonic_9,Mnemonic_10,Mnemonic_11,Mnemonic_12,Mnemonic_13,Mnemonic_14,Mnemonic_15,Mnemonic_16,Mnemonic_17,Mnemonic_18,Mnemonic_19,Mnemonic_20,Mnemonic_21,Mnemonic_22,Mnemonic_23,Mnemonic_24,Mnemonic_25,Mnemonic_26
0,abound,Bounded means limited. Abound means not limited; that is plentiful.,Abound sounds like abundant which means in plenty...so ABOUND means to exist in large number,,,,,,,,,,,,,,,,,,,,,,,,
1,amorphous,"In Greek 'morphe' means shape/form.
So; amorphous(a +  morph + ous) means 'without shape/shapeless'.
Similarly 'morphing'  means shaping(the original).
'Metamorphosis' = Change in form/nature",amorphous = a[morf]us = on reversing morf become --> a+form+us i.e something without form.. or something lacking shape..,Alas! I can't creat any mnemonic for this word! Because the word 'Amorphous' has no distinct shape.,"morph= change shape
amorphous = no shape",amorphous-a+morp(marpu)+us....in telugu marpu means change in smthng...so the word itself says dat it is filled with a change or formless.,amoeba is amorphous in shape;;; ;P,Remember MORPHEOUS IN MATRIx movie...he is a strong guy so here amorpheous a means not...:),amorphous morphous means shape(morphology study of shapes and sizes ) a means without hence amorphous means without regular crystalline shape,AMORPHOUS<===> à¤†à¤•à¤¾à¤°à¤¹à¥€à¤¨ (pr. \\Akarahin \\ )[Noun],,,,,,,,,,,,,,,,,
2,austere,AUS-australia TERE-tear(sorrow). like the recent beatings of Australians in INDIA. so one should deny oneself from going there,austere sounds like severe which it means,remember austin? I mean STONE COLD steve austin. he was harsh ; severe and stern,(in Hindi language) Austere = A(hindi; means NO) + Ustere = A + USTARA(Hindi; Knife) = No+Ustrara => Aaj ke jamane me one without Ustara; it means he is SEVERLY SIMPLE,auSTERe....connect it with stern,AUS-australia TERE-tear(sorrow). like the recent beatings of Australians in INDIA. so one should deny oneself from going there,Austere = I steer away   (from),"Aus=out
Tere=tear with strength (not water)
Tearing out from your desires-self denials.",austere ( tear are so simple without any decorations and they are filled with emotion,Aunts' Tears:  When his AUnts saw his rigorously self-disciplined lifestyle; they alll bursted into TEARS.,a+us+tereâ€”USne TERE pyar ke liye sab chod diya and led a SIMPLE LIFE WITHOUT COMFORTS,a+us(usne)+tere pyaar me khana pina chod diya hai,,,,,,,,,,,,,,
3,belie,belie has lie.,belie ~ lie means something false.,be(make) lie. IF you make lies you will negate (or misrepresent) the truth.,belies - what lies behind is something false; than what appears on the outlook.,read as be + lier,BELIE means to try to convince someone to BELIEve a LIE.,be-lie = Below lies something else; you have a false impression,if someone belies the facts ; he is presenting a LIE BEfore you,"The ""Bee"" ""lied"" that he doesn't sting people when he has killed over 1 million people.",Lie about someone's being - belie,,,,,,,,,,,,,,,,
4,capricious,ca(CAR) + PRIC(PRICE)...PRICE OF cars nowadays is becoming  unpredictable with the launch of Tata's 1 lakh car.,CAPRICONS(SUN SIGN) ARE GENERALLY IMPULSIVE N UNPREDICTABLE PEOPLE,Capricorn the goat(zodiac symbol) is capricious,if u wear Capri(a dress; also called 3/4th) in place of formal dress; it will be UNPREDICTABLE; ERRATIC.,Wearing a ricious cap (cap full of cooked rice=capricious)? Angry?,CAPricious- CAP rounds (for entrance of medical or engg. courses) are so impredictable,cap of  himesh reshammiya is very PRECIOUS he would be unpredictable  when its stolen,A cowboy rides into town. He goes into the general store to buy a new pair of jeans. He impulsively changes mind and buys CAPRI-Pants instead. Now that's capricious!,"part of this word is ""Capri"".. usually capri's are low waist... its very unpredictable when it may fall of ur waist.. its so loose..",CA(calcium)is precious ..it is not predictable when our teeth weakens,It sounds like cap-riches. Imagine a guy at a casino with his cap under where the money comes out of a slot machine. You never know the outcome of the slot machine. He might not get anything or he might get riches.,Being Capricious is not facetious because it happens on a whim.,,,,,,,,,,,,,,
5,cerebral,cereBRAINal,CEREBRAL ASSASIN,,,,,,,,,,,,,,,,,,,,,,,,
6,congenial,Genelia Desouza  was suitable; appropriate ;compatible  and pleasant for Jaane tu Janne na movie,con(same)+genial(gene jaise). Having same kind of genes. If genes are same then the nature and tastes may match.,its con +genial.... so remember genelia she's always 'pleasant',congenial..think of genial..cordial which implies friendly.,CANNED GENI = a friend in a can.,Congenial  = con (connected) + gen ( general) + i + al; I have connected all general caste ppl.,"consider ""geni""...""genie"" in alladin is frndly",Jack deniel is a premium whisky; and all the drinker feel better and pleasant when having Jack deniel.,con(call)geni(the genie of)alladin movie who is very friendly,,,,,,,,,,,,,,,,,
7,conspicuous,Con(can)+ s(see) + the + pic(picture) --> can see the clear picture of the situation. So conspicuous means which can be easily seen.,the constable's belly is noticable to the eye,"can (con) speak(spicuous)
or something which clearly speaks; i.e.; which is obvious",con speakuous : sb; sth that every body speaks about,if a person COME-SPIT at U; then he will stand out because of his unethical behavior.,conspic+uousâ€”when involved in a CONSPIracy  gets ATTRACTING ATTENTION,"con+spicuous
con means together. every body is saying he is suspicious person",,,,,,,,,,,,,,,,,,,
8,cursory,relate it to the cursor on your computer screen..the mouse is used to move the cursor hastily without going into minor details,curs(CURSE)..SO you always CURSE a person who does his work hastily with little attention to details that you provide; results in failure of your plan.,kasahi..(cursory). hastily done,"Sounds like Kar Sorry.  When you do things hastily you end up in ""Kar Sorry ab""",cursory..sounds like nursey.imagine u were asked to prepare for nursery rhymes for interview...what will u do....u'll go hastily through it assuming u already know it,You know the meaning of cursive.Now;just remember this way.When do a teacher scolds a child to write in cursive wrting? When the child is causal in his writing or when he is hastily writing with little attention to detail.,i am so SORY i did not pay attention to the details. now I am CURSing myself.,,,,,,,,,,,,,,,,,,,
9,daunting,"DAUN SOUNDS LIKE DON
NTING SOUNDS LIKE ACTING . DON DICOURAGING THE PERSONS WHO ACTING LIKE A FEARESOME",,,,,,,,,,,,,,,,,,,,,,,,,
10,deify,deit(=f)y ... reminds you of God..,Deify sounds like hifi; hifi ppl are treated as god in the restaurants.,deify - day-fy; day-fly - just  like the angels treat like a god.,die+fy.. those who dont die are god..,die+defy= whose who defy deadth=god..,dei fly like a god in the sky,à¦¦à§‡à¦¬à¦¤à¦¾-fy,Deify means feel as deity. People in India deify Sachin Tendulkar.,,,,,,,,,,,,,,,,,,
11,didactic,didi always acts in a way she is teaching something...''didi-act'ic,"diactic=did+act
You do an act to teach something;as in a moral
thus didactic=teach",did + tactic or someone teach tactic,"Did + Attic.
I bought an instructional phamphlet that shows me how I can construct and did an attic.  Please help make this make sense gramatically",Dida (Grandmother) Teaches us many thing in childhood specially moral lesson,Dictators act in a way that their teaching something,,didactic interpret it as did as do + actic as acting. do acting teacher is always teaching how to do acting.it may help.,"Didactic: when we pronounce it sounds as ""die+acting"".An actor teaching another actor; how to act as died person.",balls up your ass,The General gave a didactic to instruct in tactics,a classroom spelling dictation,,,,,,,,,,,,,,
12,disseminate,"dis + seminate
seminate could be taken as seminar; so for a seminar people gather at a place.
Hence disseminar could be understood as the scattering of people.","Dis+seminate -Think of seminate as ""semen"". You use your semen to spread and disperse your genes to many random woman; especially when intoxicated","dis+sem+i+n+ate:
dis sem(semister) i not ate coz i distributed all my food to poor ppl....so it means distribute...spread...",sounds this emit >> scatter..,semminate means comes to something  conclusion; disseminate means to scatter the idea.,,,,,,,,,,,,,,,,,,,,,
13,feasible,"feasible- see EASI 
- work which are easy are always practical to do.sorry i cheated",feasible- see EASI - work which are easy are always practical to do.it may help you,,,,,,,,,,,,,,,,,,,,,,,,
14,flout,FLOUT... FOUL + OUT. When a player is sent out by foul; the player shows his contempt to the referee.,A kid asked me if he could FLY his paper plane in the room; I replied bluntly-FLY OUT.,"Can be associated with word ""Clout"" which means ""great influence"" as ""Person who has clout tends to flout"" == A person who has great influence tends to show contempt for and break the rules. eg. Salman Khan","flout sounds like foul;;;
foul smells make angry  irritating..",FLOUT is to treat with contempt. If you have CLOUT you are treated with respect.,flOUT(OUTDATED)...SO something which is outdated is always rejected by people.,one who makes Fun and Laugh at others are FLout,"""flout"" sounds fly out; so someone flying high in supremacy treats others badly by joking; rejecting  and exhibiting disregard",flow out..that is something rejected needs to flow out,if u make Fun of me and Laugh then u can get OUT of my house,"flaw+out=flout
when u see any flaw(imperfections) in government.u ask it to step out",,,,,,,,,,,,,,,
15,homogeneous,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
16,humdrum,one movie named HUMDUM (a bollywoodmovie) was released which was dull & boring..,hum(human)+drum..so a human being beating the drum in a monotonus way.,human+drum= means a human who is a drum(dho; in hindi);wo insan jo ek ek khali dhol hai wo dull hai..,IF U DONT HAVE A HUMDUM UR LIFE WILL BE BORING and MONOTONOUS ie. DOING THE SAME WORK EVERYDAY..,hum drum = human drum = human dhol = dholu insaan. dholu is very boring,Humdrum:reduplication of hum......Monotonous and boring.,"Humdrum is Humdum...dull fim
Drone is Drona...dull film",when ppl hum(means us) & the rum we r becomes idle sleepy mode..,,,,,,,,,,,,,,,,,,
17,insipid,"in+sip+id(it)
in-'not; -ve prefix'; so when you do not sip it; i.e a juice ;then it means the juice lacks flavor.",in+ sipid(spell it as spit..) ;we spit when the FOOD LACKS FLAVOR : or it is TASTELESS..,if u take a SIP IN; and realize that u were stuPID enough to taste such a flavor ; then the drink is insipid,IN+SIP+IT: is there anything IN this?! i took a SIP and IT is awful and bland!,sounds like in + stupid.,not worth a sip,sip it. If it was good you would gulp it.,IN: SIP ID. It's in; all drinks have a sip ID now; this means you first have a shot at tasting it; just in case you don't like it. If it was good you would gulp it and you have to pay for that.,To be INSIPID ;if you ask me; is to be STUPID.,If you can identify (<B>ID</B>) with just a <B>SIP</B> then it must be flavorful. <B>IN</B>sipid would be the opposite.,"Our waitress said the new mochas would be excellent;
They were bland instead; so we sipped it every three minutes to pretend that we liked it.
The mochas were so insipid that we left to buy the restaurant a recipe book; and so we went.
When we ret",During cooking you need to sip the food; otherwise it may be sipid,Inspire meaning increasing interst; insipi+d ; if donâ€™t inspire ; it will become boring and will lack flavor,the actors were insipid so the director was livid.,,,,,,,,,,,,
18,loquacious,it is derived from the root word 'loqua'... which refers to SPEECH or TALK,Remember Loqua with mokka.,loquacious : loq(speech;talk)+voracious.,pickup 'lok' from this word which means people. Now think of Indian Lok Sabha where there are many loquacious politicians.,Loquacious --Loquat (Talk) + Cious sounds (She -always) â€“She is always talkative,talks like a LOCOMOTIVE,In lokshabha people speak trivial things,loq(log)+acious(anxious)..log that is people are anxiously waiting for talking about some one,,,,,,,,,,,,,,,,,,
19,misanthropic,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
20,misnomer,mis+name= misnomer,nome in french is name; so mis + nome; wrong + name,fraught sounds like tots and tots are FULL OF potatoes and potatoes can be LOADED WITH stuff.,,,,,,,,,,,,,,,,,,,,,,,
21,negligent,No Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,
22,obsequious,or obse(ssed)-Qui( yes in frech)-ous=always obsessed with saying yes to it all,"ob + SEQUI + ous .. sequi means sequence where one thing ""follows"" the other.. and servants follow what their masters say..",seq = Suck; uio = Your; us = Ass. He sucks your ass; therefore he's obsequious.,"Think ""seek"" because when you seek something you show attentiveness to find it.",sounds like AP+SEEK+QUOUS.......when you seek help;you are attentive and your manner is servile,obsequious - obey sequence of work in office(obedience; dutiful).,Sounds like obedient. obsequious obedient servants,"in hindi 'oab seakh ese' 
If u wanna learn anything u shoult be attentive",ob ( to) sequi ( to follow) and ous ( full of) so obsequious is full of following after,ab(ob)se qosis karunga aisa bol ke chaplusi karte ho father se ye obsequious hai.,"OBSESSION: The domination of one's thought;
OBSEQUIOUS: The domination of one's respect (over-respect)",Imagine a boy or Suise Q obse(ssed) with boot licking her king's sexual needs (I know...);,ob+serious = not really serious,Latin: Ob = after and sequi = follow. Think â€œfollowerâ€; with sequi as â€œsequenceâ€,Note: suffix 'ious' means full of..Ob (obey) + seq(seek)+ u+ ious= if u are full of seeking to obey then u are submissive,obstinate in getting a yes (qui) from everyone,O(office mein) B(boss ki) SEQ(secretary)kaan lagake sunti hai meaning she listens slavishly to him.,,,,,,,,,
23,placate,PL + ac + ATE = a PLATE full of tasty food to SATISFY someone.,"""playing"" wid ""cat""...it'll surely pacify salman...",,placate--pla(playing)+cate(cards)===playing cards pacify's anyone........,the word's origin means 'to please',Placate: Plate+cake= a plate of cake which calms and appeases.,"Placate: just concentrate on pronunciation Placate resembles ""Pluck Ate"";so just imagine ur a thief and went for a Apple farm and Plucking and Ate the Apples silently;calm;pacify;appease;soothe;placate.......",its like pla(playing)+cate(think cafe)....so playing in cafe pacify u...,if a tree is favorably  inclined we can pluck its fruits and eat,"it can be place+ate.
when he got that place by betryaing i.e. ATE THE PLACE.people had to please him.",place + ate >>> when u give some1 place to eat; u will certainly gain his/her good will....,,,,,,,,,,,,,,,
24,proclivity,Acclivity- an upward slope; Declivity --a downward slope;  Proclivity -- a natural inclination,pro(forward) + clivity( think of cliff or high slope; prone to slipping towards it); so a strong predispostion/inclination to...  something,Pro (for) + Clivity = inclination.  An inclination for something,,,,,,,,,,,,,,,,,,,,,,,
25,puerile,PURE things are always childish and immature.,PUERILE=PURE+CHILD. A child is always pure so puerile means childish.,virile is manly n puerile is childish (not manly),(Call it pe urine which is a childish thing to do),SPECKLE,"puerile sounds like pure as well as peril.
pure as a child and peril denotes a negative connotation with this word which must be remembered other wise usage will be completely wrong",,,,,,,,,,,,,,,,,,,,
